"store_city","store_name","product_name","sold_product_amount","product_profit"
"Cuidad de Mexico","Maven Toys Ciudad de Mexico 2","Colorbuds",5627,45016.00
"Morelia","Maven Toys Morelia 1","Glass Marbles",5120,25600.00
"Mexicali","Maven Toys Mexicali 1","Colorbuds",4914,39312.00
"Monterrey","Maven Toys Monterrey 4","Splash Balls",4812,4812.00
"Hermosillo","Maven Toys Hermosillo 3","Colorbuds",4774,38192.00
"Cuidad de Mexico","Maven Toys Ciudad de Mexico 2","Deck Of Cards",4650,13950.00
"Campeche","Maven Toys Campeche 1","Mini Ping Pong Set",4244,12732.00
"Chihuahua","Maven Toys Chihuahua 2","Mini Ping Pong Set",4229,12687.00
"Toluca","Maven Toys Toluca 1","Barrel O' Slime",4218,8436.00
"Cuidad de Mexico","Maven Toys Ciudad de Mexico 1","Barrel O' Slime",3860,7720.00
"Guadalajara","Maven Toys Guadalajara 3","Colorbuds",3809,30472.00
"Monterrey","Maven Toys Monterrey 2","PlayDoh Can",3692,3692.00
"Guanajuato","Maven Toys Guanajuato 1","PlayDoh Can",3690,3690.00
"Toluca","Maven Toys Toluca 1","PlayDoh Can",3676,3676.00
"Guadalajara","Maven Toys Guadalajara 4","Colorbuds",3655,29240.00
"Monterrey","Maven Toys Monterrey 2","Colorbuds",3643,29144.00
"Cuidad de Mexico","Maven Toys Ciudad de Mexico 2","Glass Marbles",3587,17935.00
"Ciudad Victoria","Maven Toys Ciudad Victoria 1","Colorbuds",3439,27512.00
"Puebla","Maven Toys Puebla 2","Barrel O' Slime",3398,6796.00
"Monterrey","Maven Toys Monterrey 3","Glass Marbles",3356,16780.00
"Xalapa","Maven Toys Xalapa 2","PlayDoh Can",3310,3310.00
"Cuidad de Mexico","Maven Toys Ciudad de Mexico 2","Barrel O' Slime",3308,6616.00
"Cuidad de Mexico","Maven Toys Ciudad de Mexico 3","Barrel O' Slime",3303,6606.00
"Hermosillo","Maven Toys Hermosillo 1","Colorbuds",3286,26288.00
"Cuidad de Mexico","Maven Toys Ciudad de Mexico 2","PlayDoh Can",3274,3274.00
"Cuidad de Mexico","Maven Toys Ciudad de Mexico 4","Colorbuds",3200,25600.00
"Guadalajara","Maven Toys Guadalajara 3","PlayDoh Can",3155,3155.00
"Oaxaca","Maven Toys Oaxaca 1","Barrel O' Slime",3155,6310.00
"Cuidad de Mexico","Maven Toys Ciudad de Mexico 1","PlayDoh Can",3119,3119.00
"Cuidad de Mexico","Maven Toys Ciudad de Mexico 2","Splash Balls",3070,3070.00
"Puebla","Maven Toys Puebla 3","Colorbuds",3048,24384.00
"Saltillo","Maven Toys Saltillo 1","Colorbuds",2996,23968.00
"Guanajuato","Maven Toys Guanajuato 1","Deck Of Cards",2845,8535.00
"Culiacan","Maven Toys Culiacan 1","PlayDoh Can",2820,2820.00
"Cuidad de Mexico","Maven Toys Ciudad de Mexico 3","Mini Ping Pong Set",2778,8334.00
"Mexicali","Maven Toys Mexicali 1","Deck Of Cards",2748,8244.00
"Toluca","Maven Toys Toluca 1","Splash Balls",2730,2730.00
"Morelia","Maven Toys Morelia 1","Colorbuds",2716,21728.00
"Villahermosa","Maven Toys Villahermosa 1","PlayDoh Can",2682,2682.00
"Guadalajara","Maven Toys Guadalajara 2","Colorbuds",2629,21032.00
"Toluca","Maven Toys Toluca 1","Magic Sand",2620,5240.00
"Monterrey","Maven Toys Monterrey 1","Barrel O' Slime",2614,5228.00
"Saltillo","Maven Toys Saltillo 2","PlayDoh Can",2595,2595.00
"Mexicali","Maven Toys Mexicali 2","Barrel O' Slime",2587,5174.00
"Puebla","Maven Toys Puebla 1","Colorbuds",2565,20520.00
"Guanajuato","Maven Toys Guanajuato 1","Colorbuds",2535,20280.00
"Puebla","Maven Toys Puebla 1","Deck Of Cards",2522,7566.00
"Tuxtla Gutierrez","Maven Toys Tuxtla Gutierrez 1","Barrel O' Slime",2501,5002.00
"Cuidad de Mexico","Maven Toys Ciudad de Mexico 1","Deck Of Cards",2478,7434.00
"Monterrey","Maven Toys Monterrey 1","PlayDoh Can",2461,2461.00
"Hermosillo","Maven Toys Hermosillo 2","PlayDoh Can",2456,2456.00
"Guanajuato","Maven Toys Guanajuato 2","Colorbuds",2439,19512.00
"Guadalajara","Maven Toys Guadalajara 3","Rubik's Cube",2433,4866.00
"Monterrey","Maven Toys Monterrey 3","Deck Of Cards",2423,7269.00
"Saltillo","Maven Toys Saltillo 1","PlayDoh Can",2423,2423.00
"Pachuca","Maven Toys Pachuca 1","Barrel O' Slime",2374,4748.00
"Cuidad de Mexico","Maven Toys Ciudad de Mexico 1","Action Figure",2350,14100.00
"Merida","Maven Toys Merida 1","PlayDoh Can",2337,2337.00
"Guanajuato","Maven Toys Guanajuato 1","Barrel O' Slime",2302,4604.00
"Cuidad de Mexico","Maven Toys Ciudad de Mexico 1","Splash Balls",2298,2298.00
"Santiago","Maven Toys Santiago 1","PlayDoh Can",2295,2295.00
"Monterrey","Maven Toys Monterrey 3","Splash Balls",2270,2270.00
"Saltillo","Maven Toys Saltillo 2","Splash Balls",2263,2263.00
"Ciudad Victoria","Maven Toys Ciudad Victoria 1","PlayDoh Can",2256,2256.00
"Morelia","Maven Toys Morelia 1","Deck Of Cards",2234,6702.00
"Guanajuato","Maven Toys Guanajuato 2","PlayDoh Can",2230,2230.00
"Hermosillo","Maven Toys Hermosillo 3","PlayDoh Can",2211,2211.00
"San Luis Potosi","Maven Toys San Luis Potosi 1","PlayDoh Can",2204,2204.00
"Cuidad de Mexico","Maven Toys Ciudad de Mexico 2","Lego Bricks",2201,11005.00
"Guadalajara","Maven Toys Guadalajara 4","Action Figure",2192,13152.00
"Puebla","Maven Toys Puebla 2","PlayDoh Can",2184,2184.00
"Guanajuato","Maven Toys Guanajuato 3","Lego Bricks",2183,10915.00
"Campeche","Maven Toys Campeche 1","Barrel O' Slime",2183,4366.00
"Guadalajara","Maven Toys Guadalajara 3","Barrel O' Slime",2171,4342.00
"Xalapa","Maven Toys Xalapa 1","Colorbuds",2160,17280.00
"Monterrey","Maven Toys Monterrey 2","Barrel O' Slime",2147,4294.00
"Zacatecas","Maven Toys Zacatecas 1","Barrel O' Slime",2138,4276.00
"Cuidad de Mexico","Maven Toys Ciudad de Mexico 3","PlayDoh Can",2133,2133.00
"Puebla","Maven Toys Puebla 3","PlayDoh Can",2132,2132.00
"Hermosillo","Maven Toys Hermosillo 1","Barrel O' Slime",2130,4260.00
"Campeche","Maven Toys Campeche 1","Deck Of Cards",2127,6381.00
"Hermosillo","Maven Toys Hermosillo 3","Magic Sand",2127,4254.00
"Guadalajara","Maven Toys Guadalajara 2","PlayDoh Can",2124,2124.00
"Guadalajara","Maven Toys Guadalajara 1","Deck Of Cards",2124,6372.00
"Durango","Maven Toys Durango 1","PlayDoh Can",2123,2123.00
"Mexicali","Maven Toys Mexicali 1","PlayDoh Can",2116,2116.00
"La Paz","Maven Toys La Paz 1","Deck Of Cards",2104,6312.00
"Villahermosa","Maven Toys Villahermosa 1","Colorbuds",2101,16808.00
"Aguascalientes","Maven Toys Aguascalientes 1","Colorbuds",2096,16768.00
"Saltillo","Maven Toys Saltillo 2","Colorbuds",2080,16640.00
"Chilpancingo","Maven Toys Chilpancingo 1","Colorbuds",2077,16616.00
"Chihuahua","Maven Toys Chihuahua 1","Mini Ping Pong Set",2055,6165.00
"Monterrey","Maven Toys Monterrey 1","Colorbuds",2053,16424.00
"Hermosillo","Maven Toys Hermosillo 1","PlayDoh Can",2053,2053.00
"Monterrey","Maven Toys Monterrey 3","Colorbuds",2046,16368.00
"Chilpancingo","Maven Toys Chilpancingo 1","PlayDoh Can",2034,2034.00
"Saltillo","Maven Toys Saltillo 1","Deck Of Cards",2030,6090.00
"Hermosillo","Maven Toys Hermosillo 3","Deck Of Cards",2027,6081.00
"Durango","Maven Toys Durango 1","Deck Of Cards",2002,6006.00
"Cuernavaca","Maven Toys Cuernavaca 1","PlayDoh Can",2000,2000.00
"Guadalajara","Maven Toys Guadalajara 4","PlayDoh Can",2000,2000.00
"Cuidad de Mexico","Maven Toys Ciudad de Mexico 3","Deck Of Cards",1988,5964.00
"Cuidad de Mexico","Maven Toys Ciudad de Mexico 1","Lego Bricks",1983,9915.00
"Toluca","Maven Toys Toluca 1","Deck Of Cards",1972,5916.00
"Hermosillo","Maven Toys Hermosillo 3","Lego Bricks",1962,9810.00
"Culiacan","Maven Toys Culiacan 1","Magic Sand",1957,3914.00
"Chihuahua","Maven Toys Chihuahua 2","Barrel O' Slime",1951,3902.00
"Chihuahua","Maven Toys Chihuahua 1","Colorbuds",1946,15568.00
"Chetumal","Maven Toys Chetumal 1","Colorbuds",1922,15376.00
"Chihuahua","Maven Toys Chihuahua 1","Deck Of Cards",1913,5739.00
"Mexicali","Maven Toys Mexicali 2","Deck Of Cards",1908,5724.00
"Chilpancingo","Maven Toys Chilpancingo 1","Deck Of Cards",1905,5715.00
"Xalapa","Maven Toys Xalapa 2","Colorbuds",1902,15216.00
"Xalapa","Maven Toys Xalapa 2","Magic Sand",1897,3794.00
"Cuidad de Mexico","Maven Toys Ciudad de Mexico 2","Action Figure",1877,11262.00
"Saltillo","Maven Toys Saltillo 1","Barrel O' Slime",1861,3722.00
"Santiago","Maven Toys Santiago 1","Magic Sand",1857,3714.00
"Durango","Maven Toys Durango 1","Colorbuds",1852,14816.00
"Monterrey","Maven Toys Monterrey 2","Deck Of Cards",1852,5556.00
"Campeche","Maven Toys Campeche 2","Barrel O' Slime",1849,3698.00
"Hermosillo","Maven Toys Hermosillo 2","Colorbuds",1844,14752.00
"Guadalajara","Maven Toys Guadalajara 2","Deck Of Cards",1838,5514.00
"Hermosillo","Maven Toys Hermosillo 2","Deck Of Cards",1834,5502.00
"San Luis Potosi","Maven Toys San Luis Potosi 1","Barrel O' Slime",1830,3660.00
"Guanajuato","Maven Toys Guanajuato 2","Deck Of Cards",1825,5475.00
"Cuernavaca","Maven Toys Cuernavaca 1","Barrel O' Slime",1818,3636.00
"Villahermosa","Maven Toys Villahermosa 1","Barrel O' Slime",1812,3624.00
"Chihuahua","Maven Toys Chihuahua 2","Deck Of Cards",1810,5430.00
"Toluca","Maven Toys Toluca 1","Action Figure",1809,10854.00
"Merida","Maven Toys Merida 1","Barrel O' Slime",1802,3604.00
"Santiago","Maven Toys Santiago 1","Barrel O' Slime",1797,3594.00
"Cuidad de Mexico","Maven Toys Ciudad de Mexico 4","PlayDoh Can",1773,1773.00
"Guadalajara","Maven Toys Guadalajara 1","PlayDoh Can",1771,1771.00
"Zacatecas","Maven Toys Zacatecas 1","PlayDoh Can",1768,1768.00
"Cuidad de Mexico","Maven Toys Ciudad de Mexico 1","Rubik's Cube",1766,3532.00
"Aguascalientes","Maven Toys Aguascalientes 1","Deck Of Cards",1754,5262.00
"Guanajuato","Maven Toys Guanajuato 3","PlayDoh Can",1744,1744.00
"Zacatecas","Maven Toys Zacatecas 1","Magic Sand",1739,3478.00
"Xalapa","Maven Toys Xalapa 2","Barrel O' Slime",1736,3472.00
"Guanajuato","Maven Toys Guanajuato 1","Lego Bricks",1726,8630.00
"Hermosillo","Maven Toys Hermosillo 1","Deck Of Cards",1718,5154.00
"Guadalajara","Maven Toys Guadalajara 3","Lego Bricks",1716,8580.00
"Pachuca","Maven Toys Pachuca 1","PlayDoh Can",1715,1715.00
"Chetumal","Maven Toys Chetumal 1","Splash Balls",1706,1706.00
"Saltillo","Maven Toys Saltillo 1","Lego Bricks",1701,8505.00
"Monterrey","Maven Toys Monterrey 3","PlayDoh Can",1685,1685.00
"Mexicali","Maven Toys Mexicali 2","Colorbuds",1677,13416.00
"Guadalajara","Maven Toys Guadalajara 2","Barrel O' Slime",1676,3352.00
"Puebla","Maven Toys Puebla 2","Splash Balls",1672,1672.00
"Guadalajara","Maven Toys Guadalajara 1","Barrel O' Slime",1668,3336.00
"Monterrey","Maven Toys Monterrey 2","Lego Bricks",1666,8330.00
"Monterrey","Maven Toys Monterrey 1","Lego Bricks",1661,8305.00
"Cuidad de Mexico","Maven Toys Ciudad de Mexico 2","Magic Sand",1660,3320.00
"Culiacan","Maven Toys Culiacan 1","Barrel O' Slime",1657,3314.00
"Toluca","Maven Toys Toluca 2","Splash Balls",1657,1657.00
"Monterrey","Maven Toys Monterrey 4","Lego Bricks",1656,8280.00
"Tuxtla Gutierrez","Maven Toys Tuxtla Gutierrez 1","PlayDoh Can",1654,1654.00
"Guadalajara","Maven Toys Guadalajara 3","Action Figure",1651,9906.00
"Toluca","Maven Toys Toluca 1","Lego Bricks",1646,8230.00
"Xalapa","Maven Toys Xalapa 2","Lego Bricks",1638,8190.00
"Cuidad de Mexico","Maven Toys Ciudad de Mexico 1","Magic Sand",1631,3262.00
"Chetumal","Maven Toys Chetumal 1","PlayDoh Can",1624,1624.00
"Toluca","Maven Toys Toluca 2","Deck Of Cards",1620,4860.00
"Xalapa","Maven Toys Xalapa 2","Splash Balls",1617,1617.00
"Culiacan","Maven Toys Culiacan 1","Splash Balls",1606,1606.00
"Puebla","Maven Toys Puebla 3","Barrel O' Slime",1598,3196.00
"Tuxtla Gutierrez","Maven Toys Tuxtla Gutierrez 1","Deck Of Cards",1590,4770.00
"Merida","Maven Toys Merida 1","Colorbuds",1590,12720.00
"Aguascalientes","Maven Toys Aguascalientes 1","Barrel O' Slime",1584,3168.00
"Monterrey","Maven Toys Monterrey 1","Deck Of Cards",1583,4749.00
"San Luis Potosi","Maven Toys San Luis Potosi 1","Magic Sand",1570,3140.00
"Oaxaca","Maven Toys Oaxaca 1","Magic Sand",1563,3126.00
"Puebla","Maven Toys Puebla 1","PlayDoh Can",1561,1561.00
